Parallel Time, Sequential time, Sample size, Thread number
0.035021, 0.002000, 1000000, 2
0.019015, 0.002000, 1000000, 4
0.017553, 0.003165, 1000000, 6
0.011512, 0.002504, 1000000, 8
0.014013, 0.003004, 1000000, 10
0.071542, 0.004001, 2000000, 2
0.038975, 0.004004, 2000000, 4
0.032708, 0.004005, 2000000, 6
0.023011, 0.004001, 2000000, 8
0.024079, 0.004000, 2000000, 10
0.107688, 0.006047, 3000000, 2
0.055345, 0.006003, 3000000, 4
0.047695, 0.006503, 3000000, 6
0.035021, 0.006981, 3000000, 8
0.036853, 0.005503, 3000000, 10
0.143766, 0.008196, 4000000, 2
0.075069, 0.008508, 4000000, 4
0.064540, 0.008505, 4000000, 6
0.042527, 0.007507, 4000000, 8
0.047675, 0.008002, 4000000, 10
0.177121, 0.009506, 5000000, 2
0.094061, 0.009505, 5000000, 4
0.082290, 0.010505, 5000000, 6
0.058463, 0.011140, 5000000, 8
0.061981, 0.010561, 5000000, 10
0.212883, 0.011958, 6000000, 2
0.107218, 0.012513, 6000000, 4
0.102806, 0.012504, 6000000, 6
0.064037, 0.012035, 6000000, 8
0.071546, 0.013044, 6000000, 10
0.258285, 0.013508, 7000000, 2
0.129397, 0.014054, 7000000, 4
0.117122, 0.013510, 7000000, 6
0.072674, 0.014013, 7000000, 8
0.088184, 0.013507, 7000000, 10
0.289647, 0.015570, 8000000, 2
0.141393, 0.017011, 8000000, 4
0.131086, 0.016509, 8000000, 6
0.083547, 0.016547, 8000000, 8
0.095108, 0.015602, 8000000, 10
0.319802, 0.018055, 9000000, 2
0.162718, 0.018148, 9000000, 4
0.148002, 0.018504, 9000000, 6
0.091601, 0.018973, 9000000, 8
0.108824, 0.018508, 9000000, 10
0.357599, 0.020010, 10000000, 2
0.187768, 0.019530, 10000000, 4
0.162790, 0.020532, 10000000, 6
0.101198, 0.020012, 10000000, 8
0.114694, 0.021008, 10000000, 10
0.393596, 0.021517, 11000000, 2
0.208266, 0.022185, 11000000, 4
0.178417, 0.022014, 11000000, 6
0.115571, 0.022011, 11000000, 8
0.131582, 0.021526, 11000000, 10
0.427237, 0.027011, 12000000, 2
0.216251, 0.025514, 12000000, 4
0.198127, 0.024516, 12000000, 6
0.122091, 0.025519, 12000000, 8
0.149599, 0.024285, 12000000, 10
0.468175, 0.026889, 13000000, 2
0.233189, 0.026548, 13000000, 4
0.208020, 0.026014, 13000000, 6
0.129602, 0.025486, 13000000, 8
0.156757, 0.026013, 13000000, 10
0.504540, 0.028023, 14000000, 2
0.253193, 0.029013, 14000000, 4
0.228879, 0.029610, 14000000, 6
0.146139, 0.029110, 14000000, 8
0.169379, 0.028518, 14000000, 10
0.534996, 0.030148, 15000000, 2
0.267554, 0.030518, 15000000, 4
0.247637, 0.030520, 15000000, 6
0.158469, 0.031520, 15000000, 8
0.179139, 0.030612, 15000000, 10
0.569869, 0.033024, 16000000, 2
0.288951, 0.032557, 16000000, 4
0.260199, 0.032518, 16000000, 6
0.162086, 0.033517, 16000000, 8
0.182620, 0.032218, 16000000, 10
0.601411, 0.035586, 17000000, 2
0.306420, 0.035162, 17000000, 4
0.270867, 0.036557, 17000000, 6
0.169137, 0.034195, 17000000, 8
0.193629, 0.035615, 17000000, 10
0.644100, 0.038184, 18000000, 2
0.307029, 0.037466, 18000000, 4
0.288310, 0.036522, 18000000, 6
0.180737, 0.036119, 18000000, 8
0.207203, 0.036525, 18000000, 10
0.673976, 0.038822, 19000000, 2
0.350895, 0.039618, 19000000, 4
0.306357, 0.042134, 19000000, 6
0.188738, 0.039014, 19000000, 8
0.225255, 0.040674, 19000000, 10
0.717049, 0.042173, 20000000, 2
0.354793, 0.042041, 20000000, 4
0.322403, 0.042070, 20000000, 6
0.203304, 0.042027, 20000000, 8
0.235155, 0.041024, 20000000, 10
